"","scale","domain1","domain2","jsd_est","threshold"
"97.5%","bad_terrible","album","book",0.433099389937299,0.433146383317914
"97.5%1","bad_terrible","album","game",0.401853052035521,0.401901081632858
"97.5%2","bad_terrible","album","movie",0.403010309891939,0.40306624280014
"97.5%3","bad_terrible","album","play",0.415067825253977,0.415114224122266
"97.5%4","bad_terrible","album","restaurant",0.394996200362949,0.39504679231979
"97.5%5","bad_terrible","book","game",0.412389003931523,0.412427541897619
"97.5%6","bad_terrible","book","movie",0.391381044340083,0.391422546186076
"97.5%7","bad_terrible","book","play",0.411071110261713,0.411109451463548
"97.5%8","bad_terrible","book","restaurant",0.439952408690318,0.43999635627805
"97.5%9","bad_terrible","game","movie",0.39788833084914,0.397932888949372
"97.5%10","bad_terrible","game","play",0.402328097657301,0.402360074168204
"97.5%11","bad_terrible","game","restaurant",0.408300031277814,0.408365511394091
"97.5%12","bad_terrible","movie","play",0.3726854309396,0.372726014920359
"97.5%13","bad_terrible","movie","restaurant",0.424136270534498,0.424205427121974
"97.5%14","bad_terrible","play","restaurant",0.424774619518338,0.424825988027713
"97.5%15","good_excellent","album","book",0.428411373107239,0.428457163858559
"97.5%16","good_excellent","album","game",0.427312402077732,0.427347130776614
"97.5%17","good_excellent","album","movie",0.38834226192566,0.388378521290263
"97.5%18","good_excellent","album","play",0.424824649893262,0.424865012491284
"97.5%19","good_excellent","album","restaurant",0.407485065384554,0.407526574191066
"97.5%20","good_excellent","book","game",0.460915429081816,0.460976525200972
"97.5%21","good_excellent","book","movie",0.422619811678833,0.422655187241094
"97.5%22","good_excellent","book","play",0.448744577320809,0.448790080533706
"97.5%23","good_excellent","book","restaurant",0.475588769143191,0.475657695158678
"97.5%24","good_excellent","game","movie",0.389850594057159,0.389887611090841
"97.5%25","good_excellent","game","play",0.416158428617266,0.416207183688187
"97.5%26","good_excellent","game","restaurant",0.45102142074665,0.451068624525854
"97.5%27","good_excellent","movie","play",0.385793315113925,0.385833897083265
"97.5%28","good_excellent","movie","restaurant",0.405689890852736,0.405734879026036
"97.5%29","good_excellent","play","restaurant",0.430209917899261,0.430258238427346
"97.5%30","liked_loved","album","book",0.318236063879997,0.318278666181744
"97.5%31","liked_loved","album","game",0.32971327835251,0.329746952969287
"97.5%32","liked_loved","album","movie",0.30876636269375,0.308800507280052
"97.5%33","liked_loved","album","play",0.348317909477637,0.348379661744239
"97.5%34","liked_loved","album","restaurant",0.328093212099936,0.32812289673756
"97.5%35","liked_loved","book","game",0.316985396061696,0.317012365504525
"97.5%36","liked_loved","book","movie",0.306644913550081,0.306673604948714
"97.5%37","liked_loved","book","play",0.309936369720875,0.309962594004179
"97.5%38","liked_loved","book","restaurant",0.35602965885832,0.356095950533573
"97.5%39","liked_loved","game","movie",0.30504905451091,0.305073807680674
"97.5%40","liked_loved","game","play",0.338034750841289,0.338058790556313
"97.5%41","liked_loved","game","restaurant",0.31953623062447,0.319565739286291
"97.5%42","liked_loved","movie","play",0.320873588792257,0.320893774897663
"97.5%43","liked_loved","movie","restaurant",0.319066027056083,0.319094178092018
"97.5%44","liked_loved","play","restaurant",0.365055827026742,0.365073371538511
"97.5%45","memorable_unforgettable","album","book",0.4637162122936,0.463768590060429
"97.5%46","memorable_unforgettable","album","game",0.436502713945332,0.436542966070217
"97.5%47","memorable_unforgettable","album","movie",0.452816662925315,0.452868544598543
"97.5%48","memorable_unforgettable","album","play",0.449650279094355,0.449715802093065
"97.5%49","memorable_unforgettable","album","restaurant",0.438870073922488,0.438914832033372
"97.5%50","memorable_unforgettable","book","game",0.441644287100288,0.441692732104065
"97.5%51","memorable_unforgettable","book","movie",0.448190759292487,0.44824352837111
"97.5%52","memorable_unforgettable","book","play",0.430093497591936,0.430139536582695
"97.5%53","memorable_unforgettable","book","restaurant",0.437173768601828,0.437213736721033
"97.5%54","memorable_unforgettable","game","movie",0.422093587288481,0.42213706803741
"97.5%55","memorable_unforgettable","game","play",0.437116249081319,0.437162691073185
"97.5%56","memorable_unforgettable","game","restaurant",0.401830080254304,0.401857616743378
"97.5%57","memorable_unforgettable","movie","play",0.463550531546461,0.4636137213711
"97.5%58","memorable_unforgettable","movie","restaurant",0.447030318115434,0.447081992381285
"97.5%59","memorable_unforgettable","play","restaurant",0.453806859391024,0.453856516428776
"97.5%60","special_unique","album","book",0.448532434354506,0.44857300580156
"97.5%61","special_unique","album","game",0.439112789542903,0.439172186192486
"97.5%62","special_unique","album","movie",0.489516064981584,0.489580771665894
"97.5%63","special_unique","album","play",0.460236927642667,0.460288890414978
"97.5%64","special_unique","album","restaurant",0.431686628032967,0.431715553698133
"97.5%65","special_unique","book","game",0.418629624262764,0.418658269973975
"97.5%66","special_unique","book","movie",0.47889795509537,0.478965157894289
"97.5%67","special_unique","book","play",0.453150658798942,0.453194815431694
"97.5%68","special_unique","book","restaurant",0.464650008850633,0.464705647197755
"97.5%69","special_unique","game","movie",0.452013232504945,0.452058348066693
"97.5%70","special_unique","game","play",0.428487871045977,0.428544602070984
"97.5%71","special_unique","game","restaurant",0.444875649206334,0.444916524702433
"97.5%72","special_unique","movie","play",0.456677772158998,0.456729882768286
"97.5%73","special_unique","movie","restaurant",0.503262263385291,0.50332688760506
"97.5%74","special_unique","play","restaurant",0.462684433932577,0.462737923553654
